,Original Word (Input), Modernized Word (Ground Truth),Naive Baseline,Model Prediction
5311,1591muchos,1591muchos,अ,1611muchos
5312,mucho,mucho,mucho,mucho
5313,a,ha,a,ha
5314,efecto,en,efecto,en
5315,franca,francisca,francisca,francisca
5316,hobligado,obligado,obligado,obligado
5317,avellaneda,avellaneda,अ,habllaneda
5318,neseçidad,necesidad,अ,necesidad
5319,cuerpos,cuerpos,cuerpos,cuerpos
5320,aunque,aunque,aunque,aunque
5321,casa,a,casa,a
5322,por,por,por,por
5323,comunicarlo,comunicarlo,comunicarlo,comunicarlo
5324,y,y,y,y
5325,me,me,me,me
5326,doctrina,doctrina,doctrina,doctrina
5327,pudo,pudo,pudo,pudo
5328,deçir,decir,decir,decir
5329,es,es,es,es
5330,enbie,envíe,envíe,enve
5331,torresste,torreseste,अ,torreseste
5332,lo,lo,lo,lo
5333,quedaron,quedaron,quedaron,quedaron
5334,supiera,supiera,supiera,supiera
5335,de,de,de,de
5336,al,al,al,al
5337,q,que,que,que
5338,tan,tan,tan,tan
5339,como,como,como,como
5340,aca,acá,acá,ac
5341,me,me,me,me
5342,an,han,han,han
5343,de,de,de,de
5344,una,una,una,una
5345,grave,grave,grave,grave
5346,por,por,por,por
5347,y,y,y,y
5348,ulta,última,अ,altima
5349,d,de,de,de
5350,9e,noviembre,अ,noviembre
5351,porque,porque,porque,porque
5352,el,el,el,el
5353,as,años,años,años
5354,sin,sin,sin,sin
5355,q,que,que,que
5356,y,y,y,y
5357,como,como,como,como
5358,porq,porque,porque,porque
5359,la,la,la,la
5360,se,se,se,se
5361,para,para,para,para
5362,mia,mía,mía,maa
5363,motivo,cuyo,motivo,cuyo
5364,de,de,de,de
5365,que,que,que,que
5366,y,y,y,y
5367,lo,lo,lo,lo
5368,no,no,no,no
5369,a,ha,a,ha
5370,y,y,y,y
5371,solo,sólo,sólo,selo
5372,14,14,14,10
5373,le,le,le,le
5374,q,que,que,que
5375,de,de,de,de
5376,ocupacion,ocupación,ocupación,ocupacin
5377,cinco,cinco,cinco,cinco
5378,que,que,que,que
5379,almedral,regalo,अ,regalo
5380,mucho,mucho,mucho,mucho
5381,erede,herede,अ,herede
5382,mano,mano,mano,mano
5383,vajo,bajo,bajo,bajo
5384,mi,mi,mi,mi
5385,pudieras,pudieras,pudieras,pudieras
5386,de,de,de,de
5387,cuidado,cuidado,cuidado,cuidado
5388,estotro,estotro,estotro,estotro
5389,da,da,da,da
5390,cuñado,cuñado,cuñado,cuñado
5391,le,le,le,le
5392,podido,podido,podido,podido
5393,i,y,y,y
5394,los,los,los,los
5395,su,su,su,su
5396,serviçio,servicio,servicio,servicio
5397,escribir,escribir,escribir,escribir
5398,deteniendose,deteniéndose,अ,detenindose
5399,pues,pues,pues,pues
5400,dho,dicho,dicho,dicho
5401,de,de,de,de
5402,vm,de,vm,de
5403,el,el,el,el
5404,pondria,pondría,pondría,pondra
5405,yba,que,iba,que
5406,no,no,no,no
5407,mia,mía,mía,maa
5408,la,la,la,la
5409,tengo,tengo,tengo,tengo
5410,de,o,de,o
5411,de,de,de,de
5412,pregmaticas,pragmáticas,अ,pragmticas
5413,diligencias,las,diligencias,las
5414,tengo,tengo,tengo,tengo
5415,tanbien,también,también,tambin
5416,dira,dirá,dirá,dir
5417,ynbie,envié,envíe,envi
5418,seais,seáis,अ,seis
5419,para,para,para,para
5420,una,una,una,una
5421,me,me,me,me
5422,y,y,y,y
5423,el,él,el,el
5424,mioya,ya,अ,ya
5425,pago,pago,pago,pago
5426,tirar,tirar,tirar,tirar
5427,de,de,de,de
5428,llevaren,llevaren,अ,llevaren
5429,lo,lo,lo,lo
5430,ser,ser,ser,ser
5431,esta,esta,esta,esta
5432,lleben,lleven,los,lleven
5433,vm,vm,vm,vm
5434,papel,papel,papel,papel
5435,el,a,el,a
5436,cibdad,ciudad,ciudad,ciudad
5437,ignorar,ignorar,ignorar,ignorar
5438,de,de,de,de
5439,bos,vos,vos,vos
5440,le,le,le,le
5441,pobre,pobre,pobre,pobre
5442,la,la,la,la
5443,que,que,que,que
5444,es,que,es,que
5445,de,de,de,de
5446,del,del,del,del
5447,en,en,en,en
5448,por,ruego,por,ruego
5449,pa,para,para,para
5450,acudir,acudir,acudir,acudir
5451,dolores,dolores,dolores,dolores
5452,daras,darás,darás,darás
5453,tpo,tiempo,tiempo,tiempo
5454,que,que,que,que
5455,no,no,no,no
5456,madrid,madrid,madrid,madrid
5457,à,a,a,a
5458,pues,pues,pues,pues
5459,en,ninguna,en,ninguna
5460,i,y,y,y
5461,padre,padre,padre,padre
5462,allado,hubiera,hallado,hubiera
5463,no,no,no,no
5464,el,el,el,el
5465,por,por,por,por
5466,cocorera,socorriera,अ,socorriera
5467,suelo,suelo,suelo,suelo
5468,vm,vm,vm,vm
5469,cirilo,cirilo,अ,cirilo
5470,cuita,tanta,अ,tanta
5471,hido,he,ido,he
5472,perdonado,perdonado,perdonado,perdonado
5473,nunca,nunca,nunca,nunca
5474,tropas,de,tropas,de
5475,a,a,a,a
5476,se,se,se,se
5477,nina,niña,ninguna,niña
5478,82,82mi,82mi,16mi
5479,dividido,dividido,dividido,dividido
5480,yo,yo,yo,yo
5481,a,a,a,a
5482,el,el,el,el
5483,siendo,siendo,siendo,siendo
5484,y,y,y,y
5485,y,y,y,y
5486,ochoçientos,ochocientos,अ,ochocientos
5487,mereze,merece,merece,merece
5488,memorias,memorias,memorias,memorias
5489,de,de,de,de
5490,que,que,que,que
5491,sino,hacienda,sino,hacienda
5492,alla,por,allá,por
5493,primer,primer,primer,primer
5494,mi,mi,mi,mi
5495,as,has,años,has
5496,la,la,la,la
5497,puedo,puedo,puedo,puedo
5498,escrebir,escribir,escribir,escribir
5499,granada,granada,granada,granada
5500,no,no,no,no
5501,los,los,los,los
5502,caidas,caídas,caídas,cadas
5503,o,o,o,o
5504,padre,mi,padre,mi
5505,de,de,de,de
5506,reyes,reyes,reyes,reyes
5507,resto,resto,resto,resto
5508,dezir,a,decir,a
5509,ocasion,ocasión,ocasión,ocasin
5510,ser,ser,ser,ser
5511,luego,y,luego,y
5512,niños,niños,niños,niños
5513,mi,mí,mi,me
5514,y,y,y,y
5515,vm,a,vm,a
5516,dicen,dicen,dicen,dicen
5517,celebraria,celebraría,celebraría,celebrara
5518,recados,recados,recados,recados
5519,era,era,era,era
5520,lo,lo,lo,lo
5521,pampa,pamplona,pamplona,pamplona
5522,ermano,mancebo,hermano,mancebo
5523,s,señor,su,señor
5524,abia,había,había,haba
5525,dyzyndo,diciendo,अ,diciendo
5526,es,es,es,es
5527,de,de,de,de
5528,aora,ahora,ahora,ahora
5529,camara,cámara,cámara,camara
5530,asta,hasta,hasta,hasta
5531,salio,salió,salió,sali
5532,mismo,mismo,mismo,mismo
5533,en,vez,en,vez
5534,josep,josé,josé,jos
5535,sin,sin,sin,sin
5536,a,a,a,a
5537,pequeño,pequeño,pequeño,pequeño
5538,echa,ser,hecha,ser
5539,has,has,has,has
5540,vmd,vm,vm,vm
5541,de,de,de,de
5542,de,de,de,de
5543,y,y,y,y
5544,celestial,celestial,celestial,celestial
5545,y,y,y,y
5546,de,de,de,de
5547,bien,bien,bien,bien
5548,se,no,se,no
5549,de,29,de,20
5550,aiudasen,ayudasen,अ,aaudasen
5551,con,ahora,con,ahora
5552,tu,tu,tu,tu
5553,los,los,los,los
5554,frailes,los,frailes,los
5555,porq,ahora,porque,ahora
5556,devdor,es,अ,es
5557,despues,después,después,despus
5558,que,que,que,que
5559,bastante,bastante,bastante,bastante
5560,que,escribirme,que,escribirme
5561,esa,ésa,esa,esa
5562,y,y,y,y
5563,hombre,hombre,hombre,hombre
5564,lo,lo,lo,lo
5565,algund,algún,algún,algn
5566,la,la,la,la
5567,y,y,y,y
5568,me,y,me,y
5569,en,puesto,en,puesto
5570,ubiera,hubiera,hubiera,hubiera
5571,mortificacion,tanta,mortificación,tanta
5572,vm,vm,vm,vm
5573,es,es,es,es
5574,vuscase,buscase,buscase,buscase
5575,dios,dios,dios,dios
5576,consuelo,consuelo,consuelo,consuelo
5577,la,la,la,la
5578,pliegos,17,pliegos,10
5579,treynta,treinta,treinta,treinta
5580,donde,pueblo,donde,pueblo
5581,a,a,a,a
5582,no,no,no,no
5583,tener,tener,tener,tener
5584,de,de,de,de
5585,à,a,a,a
5586,sean,sean,sean,sean
5587,se,se,se,se
5588,le,le,le,le
5589,a,a,a,a
5590,suarez,suárez,suárez,surez
5591,que,que,que,que
5592,sus,sus,sus,sus
5593,de,de,de,de
5594,en,en,en,en
5595,cosa,cosa,cosa,cosa
5596,haçer,hacer,hacer,hacer
5597,y,y,y,y
5598,fui,fui,fui,fuy
5599,an,me,han,me
5600,de,ninguno,de,ninguno
5601,la,la,la,la
5602,responde,responde,responde,responde
5603,beros,veros,veros,veros
5604,desea,desea,desea,desea
5605,en,en,en,en
5606,y,y,y,y
5607,assiento,asiento,asiento,asiento
5608,a,guarde,a,guarde
5609,servir,servir,servir,servir
5610,nos,nos,nos,nos
5611,mi,mi,mi,mi
5612,mios,míos,míos,meos
5613,esso,eso,eso,eso
5614,pagar,pagar,pagar,pagar
5615,al,al,al,al
5616,contextandome,no,अ,no
5617,1673servidor,1673servidor,अ,16servidor
5618,dho,dicho,dicho,dicho
5619,pos,pesos,pesos,pesos
5620,e,he,he,he
5621,tal,tal,tal,tal
5622,de,de,de,de
5623,meteria,metería,अ,metera
5624,de,de,de,de
5625,con,con,con,con
5626,de,de,de,de
5627,z,z,अ,c
5628,aqui,aquí,aquí,aqu
5629,que,que,que,que
5630,ban,van,van,van
5631,cadiz,cádiz,cádiz,cadiz
5632,marianica,marianica,अ,maríanica
5633,escrivyo,escribió,अ,escribi
5634,estotros,estotros,estotros,estotros
5635,del,del,del,del
5636,bueno,bueno,bueno,bueno
5637,remedie,remedie,remedie,remedie
5638,acordarme,acordarme,que,acordarme
5639,ara,hará,hará,har
5640,el,el,el,el
5641,no,no,no,no
5642,que,que,que,que
5643,a,ha,a,ha
5644,doctores,doctores,doctores,doctores
5645,te,te,te,te
5646,su,su,su,su
5647,a,a,a,a
5648,conplir,cumplir,de,cumplir
5649,particular,particular,particular,particular
5650,es,es,es,es
5651,de,de,de,de
5652,si,si,si,si
5653,contornos,contornos,अ,contornos
5654,q,que,que,que
5655,asi,así,así,as
5656,prc,procede,अ,procede
5657,dios,dios,dios,dios
5658,de,decirlo,de,decirlo
5659,por,por,por,por
5660,tu,tú,tu,ta
5661,porque,porque,porque,porque
5662,pa,para,para,para
5663,como,como,como,como
5664,que,que,que,que
5665,dios,dios,dios,dios
5666,esta,ésta,esta,esta
5667,trascendido,trascendido,trascendido,trascendido
5668,sepa,sepa,sepa,sepa
5669,vm,con,vm,con
5670,lebantado,pérez,levantado,perez
5671,a,a,a,a
5672,contado,contado,contado,contado
5673,las,las,las,las
5674,ser,ser,ser,ser
5675,embargadas,fincas,अ,fincas
5676,y,y,y,y
5677,que,que,que,que
5678,escrivo,escribo,escribo,escribo
5679,9,9,9,y
5680,q,qué,que,que
5681,quien,quien,quien,quien
5682,gusta,gusta,gusta,gusta
5683,la,la,la,la
5684,cosa,cosa,cosa,cosa
5685,entiende,entiende,entiende,entiende
5686,ostante,obstante,obstante,obstante
5687,mui,muy,muy,muy
5688,prqe,porque,porque,porque
5689,casualidad,casualidad,casualidad,casualidad
5690,y,y,y,y
5691,verifique,verifique,verifique,verifique
5692,por,por,por,por
5693,de,la,de,la
5694,sera,será,será,será
5695,mi,mi,mi,mi
5696,las,las,las,las
5697,linda,muy,linda,muy
5698,que,que,que,que
5699,lo,lo,lo,lo
5700,el,que,el,que
5701,hazen,le,hacen,le
5702,en,en,en,en
5703,a,a,a,a
5704,mis,mis,mis,mis
5705,y,y,y,y
5706,adbierta,advierta,advierta,advierta
5707,amemosle,amémosle,amémosle,ammosle
5708,spre,siempre,siempre,siempre
5709,balas,balas,balas,balas
5710,muy,muy,muy,muy
5711,se,se,se,se
5712,a,a,a,a
5713,md,merced,merced,merced
5714,muy,muy,muy,muy
5715,no,no,no,no
5716,mi,mí,mi,me
5717,le,le,le,le
5718,entre,entre,entre,entre
5719,la,la,la,la
5720,conviene,conviene,conviene,conviene
5721,aviron,habiron,अ,habiron
5722,he,he,he,he
5723,como,como,como,como
5724,que,bien,que,bien
5725,al,al,al,al
5726,nueve,nueve,nueve,nueve
5727,podeis,podéis,podéis,podis
5728,irme,quiero,irme,quiero
5729,a,a,a,a
5730,lo,lo,lo,lo
5731,se,se,se,se
5732,tanto,tanto,tanto,tanto
5733,v,vuestra,vuestra,vuestra
5734,mundo,mundo,mundo,mundo
5735,u,usted,usted,usted
5736,golpes,golpes,golpes,golpes
5737,que,que,que,que
5738,entonces,entonces,entonces,entonces
5739,por,por,por,por
5740,y,y,y,y
5741,sensura,censura,अ,censura
5742,por,fusilado,por,fusilado
5743,y,y,y,y
5744,y,y,y,y
5745,los,los,los,los
5746,qe,que,que,que
5747,md,merced,merced,merced
5748,mas,más,más,mas
5749,conssiga,consiga,अ,consiga
5750,bordo,bordo,अ,vordo
5751,estuviesa,estuviese,अ,estuviese
5752,enbargar,embargar,embargar,emvargar
5753,malignas,malignas,अ,malignas
5754,q,que,que,que
5755,tus,tus,tus,tus
5756,y,y,y,y
5757,nunca,cual,nunca,cual
5758,es,es,es,es
5759,saber,saber,saber,saber
5760,y,y,y,y
5761,quando,cuándo,cuando,cundo
5762,enteros,enteros,enteros,enteros
5763,y,y,y,y
5764,p,paternidad,paternidad,paternidad
5765,mas,más,más,mas
5766,de,de,de,de
5767,porque,porque,porque,porque
5768,q,que,que,que
5769,salido,ha,salido,ha
5770,y,y,y,y
5771,conservan,conservan,अ,conservan
5772,allo,hallo,hallo,hallo
5773,lenta,lenta,अ,lenta
5774,berda,digo,verdad,digo
5775,hermano,hermano,hermano,hermano
5776,a,a,a,a
5777,a,tíos,a,toos
5778,q,que,que,que
5779,dices,me,dices,me
5780,y,y,y,y
5781,en,en,en,en
5782,don,don,don,don
5783,tuuo,tuyo,अ,tuyo
5784,bien,bien,bien,bien
5785,comisso,comisario,comisario,comisario
5786,sepulte,sepulte,अ,sepulte
5787,sin,sin,sin,sin
5788,y,y,y,y
5789,corazon,corazón,corazón,corazn
5790,sepa,sepa,sepa,sepa
5791,mucho,mucho,mucho,mucho
5792,querido,querido,querido,querido
5793,he,he,he,he
5794,espero,donde,espero,donde
5795,q,que,que,que
5796,casa,casa,casa,casa
5797,essa,ésa,esa,esa
5798,priesa,dar,prisa,dar
5799,aora,ahora,ahora,ahora
5800,de,de,de,de
5801,a,a,a,a
5802,saliendo,vas,saliendo,vas
5803,esa,ésa,esa,esa
5804,hubiere,hubiere,hubiere,hubiere
5805,a,ha,a,ha
5806,mi,muy,mi,muy
5807,entendido,entendido,entendido,entendido
5808,que,que,que,que
5809,este,este,este,este
5810,dia,día,día,daa
5811,la,la,la,la
5812,franciscabaia,vaya,अ,vaya
5813,tendrya,tendría,tendría,tendra
5814,q,que,que,que
5815,sea,sea,sea,sea
5816,y,y,y,y
5817,se,se,se,se
5818,huete,en,huete,en
5819,de,de,de,de
5820,el,él,el,el
5821,el,el,el,el
5822,dicemelas,dícemelas,अ,decemelas
5823,q,que,que,que
5824,circunstáncias,circunstancias,अ,circunstancias
5825,pueda,pueda,pueda,pueda
5826,vmd,vm,vm,vm
5827,recivi,recibí,recibí,recib
5828,leio,me,अ,me
5829,y,y,y,y
5830,en,en,en,en
5831,y,y,y,y
5832,lariosmuy,lariosmuy,lariosmuy,laríosmuy
5833,de,de,de,de
5834,suplico,suplico,suplico,suplico
5835,por,por,por,por
5836,q,que,que,que
5837,de,de,de,de
5838,por,por,por,por
5839,no,no,no,no
5840,se,se,se,se
5841,de,de,de,de
5842,13,13,13,10
5843,de,de,de,de
5844,que,que,que,que
5845,estoi,estoy,estoy,estoy
5846,dispuesto,dispuesto,dispuesto,dispuesto
5847,tenido,tenido,tenido,tenido
5848,y,y,y,y
5849,se,sé,se,se
5850,esten,estén,estén,estn
5851,ala,hala,allá,hala
5852,dya,día,día,daa
5853,muho,mucho,mucho,mucho
5854,viernes,viernes,viernes,viernes
5855,vuestro,vuestro,vuestro,vuestro
5856,q,que,que,que
5857,dolencias,las,dolencias,las
5858,lo,lo,lo,lo
5859,cuanto,cuanto,cuanto,cuanto
5860,calmar,calmar,अ,calmar
5861,este,este,este,este
5862,en,en,en,en
5863,vm,vm,vm,vm
5864,los,los,los,los
5865,lo,lo,lo,lo
5866,daras,darás,darás,darás
5867,que,que,que,que
5868,ettano,etcno,अ,etcno
5869,con,estoy,con,estoy
5870,marraci,marraci,अ,marraci
5871,mui,y,muy,y
5872,vmd,vm,vm,vm
5873,xx,xx,xx,j0
5874,circunstanzia,circunstancia,अ,circunstancia
5875,m,manos,mano,manos
5876,deseo,deseo,deseo,deseo
5877,sotro,sotro,अ,sotro
5878,de,género,de,gunero
5879,amor,amor,amor,amor
5880,avia,había,había,haba
5881,recordarselo,a,अ,a
5882,mejor,por,mejor,por
5883,nros,nuestros,nuestros,nuestros
5884,contra,contra,contra,contra
5885,muramos,muramos,अ,muramos
5886,ansi,así,así,as
5887,por,por,por,por
5888,parecirme,por,अ,por
5889,haçer,hacer,hacer,hacer
5890,a,a,a,a
5891,todo,para,todo,para
5892,confio,yo,confío,yo
5893,donde,donde,donde,donde
5894,de,de,de,de
5895,de,remedio,de,remedio
5896,q,que,que,que
5897,vm,vm,vm,vm
5898,entierro,entierro,entierro,entierro
5899,se,se,se,se
5900,te,te,te,te
5901,frez,fernández,अ,fernndez
5902,adelante,adelante,adelante,adelante
5903,dejeis,dejéis,dejéis,dejis
5904,su,su,su,su
5905,aras,harás,harás,hars
5906,con,con,con,con
5907,dano,daño,daño,daño
5908,que,que,que,que
5909,mundo,mundo,mundo,mundo
5910,a,a,a,a
5911,braco,brazo,अ,brazo
5912,cansso,canso,अ,canso
5913,aunque,aunque,aunque,aunque
5914,despues,es,después,es
5915,acuerdo,acuerdo,acuerdo,acuerdo
5916,a,correo,a,correo
5917,de,de,de,de
5918,a,cosas,a,cosas
5919,estoy,estoy,estoy,estoy
5920,se,se,se,se
5921,no,no,no,no
5922,perdido,perdido,perdido,perdido
5923,que,que,que,que
5924,no,no,no,no
5925,que,que,que,que
5926,cuidado,cuidado,cuidado,cuidado
5927,de,oficio,de,oficio
5928,ha,ha,ha,ha
5929,algun,algún,algún,algn
5930,reparto,reparto,अ,reparto
5931,partio,partió,partió,parti
5932,un,un,un,un
5933,estas,estás,estas,ests
5934,antes,antes,antes,antes
5935,su,su,su,su
5936,tio,tío,tío,too
5937,dezir,decir,decir,decir
5938,mas,más,más,mas
5939,y,y,y,y
5940,los,los,los,los
5941,esto,esto,esto,esto
5942,todo,todo,todo,todo
5943,gran,gran,gran,gran
5944,mas,más,más,mas
5945,y,y,y,y
5946,no,que,no,que
5947,serbido,servido,servido,servido
5948,acercarse,acercarse,para,acercarse
5949,las,las,las,las
5950,pronunçie,pronuncie,अ,pronuncie
5951,nuestros,nuestros,nuestros,nuestros
5952,podra,podrá,podrá,podr
5953,le,le,le,le
5954,queria,quería,quería,quera
5955,assiento,asiento,asiento,asiento
5956,lo,lo,lo,lo
5957,ese,ese,ese,ese
5958,el,el,el,el
5959,podrya,podría,podría,podra
5960,carta,carta,carta,carta
5961,desde,desde,desde,desde
5962,y,general»,y,general
5963,despues,después,después,despus
5964,temiera,temiera,temiera,temiera
5965,abla,habla,habla,habla
5966,importar,importar,importar,importar
5967,si,si,si,si
5968,determinacion,determinación,determinación,determinacin
5969,moia,moya,moya,moya
5970,el,aquí,el,aqu
5971,me,me,me,me
5972,dia,el,día,el
5973,quedo,quedó,quedo,qued
5974,sobras,sobras,sobras,sobras
5975,vm,vm,vm,vm
5976,proceso,proceso,proceso,proceso
5977,todas,todas,todas,todas
5978,asimismo,vista,asimismo,vista
5979,falta,falta,falta,falta
5980,da,da,da,da
5981,reparos,algunos,reparos,algunos
5982,de,de,de,de
5983,predicadores,predicadores,predicadores,predicadores
5984,a,presente,a,presente
5985,esta,esta,esta,esta
5986,amigos,amigos,amigos,amigos
5987,señora,señora,señora,señora
5988,q,que,que,que
5989,hasta,hasta,hasta,hasta
5990,de,de,de,de
5991,que,lo,que,lo
5992,que,que,que,que
5993,allamos,hallamos,hallamos,hallamos
5994,sy,sé,si,se
5995,concertado,concertado,concertado,concertado
5996,vm,vm,vm,vm
5997,y,y,y,y
5998,estos,estos,estos,estos
5999,o,o,o,o
6000,tan,tan,tan,tan
6001,actos,actos,actos,actos
6002,faborezca,me,favorezca,me
6003,padre,padre,padre,padre
6004,tafetanes,tafetanes,tafetanes,tafetanes
6005,con,condecorado,con,condecorado
6006,alfonbrica,alfombrica,अ,alfombrica
6007,vendido,vendido,vendido,vendido
6008,si,contra,si,contra
6009,q,que,que,que
6010,la,la,la,la
6011,sobrino,sobrino,sobrino,sobrino
6012,manera,manera,manera,manera
6013,con,con,con,con
6014,chrysto,cristo,अ,cristo
6015,estava,estaba,estaba,estaba
6016,buena,buena,buena,buena
6017,algo,algo,algo,algo
6018,hermano,hermano,hermano,hermano
6019,a,a,a,a
6020,que,que,que,que
6021,el,por,el,por
6022,para,para,para,para
6023,nombre,nombre,nombre,nomvre
6024,a,a,a,a
6025,mi,querido,mi,querido
6026,manl,manuel,manuel,manuel
6027,una,una,una,una
6028,interiormente,interiormente,interiormente,interiormente
6029,se,mía,se,maa
6030,almirante,almirante,अ,almirante
6031,remitir,de,remitir,de
6032,y,y,y,y
6033,favoresçer,favorecer,अ,favorecer
6034,en,en,en,en
6035,truxo,trajo,trajo,trajo
6036,nro,nuestro,nuestro,nuestro
6037,mayo,mayo,mayo,mayo
6038,me,me,me,me
6039,es,es,es,es
6040,su,su,su,su
6041,tu,tu,tu,tu
6042,muy,muy,muy,muy
6043,solo,disposiciónésta,sólo,disposicint
6044,poder,poder,poder,poder
6045,de,de,de,de
6046,en,en,en,en
6047,fue,fue,fue,fue
6048,sean,deseos,sean,deseos
6049,al,al,al,al
6050,acaso,acaso,acaso,acaso
6051,assi,así,así,as
6052,mira,mira,mira,mira
6053,me,que,me,que
6054,un,un,un,un
6055,de,fratelli,de,fratelli
6056,yja,hija,hija,hija
6057,lo,lo,lo,lo
6058,qriamos,queríamos,अ,queramos
6059,arar,arar,arar,arar
6060,vssa,vsa,vsa,vsa
6061,no,no,no,no
6062,verlos,verlos,de,verlos
6063,la,la,la,la
6064,algun,algún,algún,algn
6065,por,por,por,por
6066,este,esté,este,est
6067,ysabel,isabel,isabel,isabel
6068,muertes,muertes,muertes,muertes
6069,cobrase,los,que,los
6070,fuere,fuere,fuere,fuere
6071,rglamentarlos,reglamentarlos,अ,reglamentarlos
6072,fin,fin,fin,fin
6073,a,a,a,a
6074,aduladores,aduladores,अ,aduladores
6075,cuando,¿cuándo,cuando,ccundo
6076,y,vino,y,vino
6077,baste,baste,baste,baste
6078,con,con,con,con
6079,gran,gran,gran,gran
6080,vender,vender,vender,vender
6081,vm,vm,vm,vm
6082,tengo,tengo,tengo,tengo
6083,dios,dios,dios,dios
6084,y,y,y,y
6085,mias,mías,mías,maas
6086,y,y,y,y
6087,esta,esta,esta,esta
6088,conveniente,conveniente,conveniente,conveniente
6089,otro,otro,otro,otro
6090,atropellos,evitar,अ,evitar
6091,yrme,irme,irme,irme
6092,entrar,entrar,entrar,entrar
6093,avisen,avisen,अ,aaisen
6094,en,en,en,en
6095,amen,amén,amén,amn
6096,es,es,es,es
6097,para,para,para,para
6098,no,no,no,no
6099,acusaronme,acusáronme,अ,acusronme
6100,de,de,de,de
6101,nuevos,nuevos,nuevos,nuevos
6102,sus,sus,sus,sus
6103,el,el,el,el
6104,en,verás,en,vers
6105,favor,el,favor,el
6106,vm,vm,vm,vm
6107,el,el,el,el
6108,nobena,novena,una,novena
6109,comuniquelo,comuníquelo,अ,comunquelo
6110,mayor,la,mayor,la
6111,su,su,su,su
6112,hice,hice,hice,hice
6113,mensajeros,mensajeros,mensajeros,mensajeros
6114,auq,aunque,aunque,aunque
6115,pues,pues,pues,pues
6116,le,le,le,le
6117,se,se,se,se
6118,duerme,duerme,duerme,duerme
6119,la,la,la,la
6120,no,no,no,no
6121,aqui,aquí,aquí,aqu
6122,de,de,de,de
6123,lo,lo,lo,lo
6124,y,y,y,y
6125,despachandomelo,despachándomelo,अ,despachndomelo
6126,que,que,que,que
6127,bien,bien,bien,bien
6128,asegurar,asegurar,asegurar,asegurar
6129,la,la,la,la
6130,corte,corte,corte,corte
6131,yo,yo,yo,yo
6132,botas,botas,botas,votas
6133,a,a,a,a
6134,debuelvas,devuelvas,अ,debuelvas
6135,l,las,la,las
6136,y,y,y,y
6137,como,como,como,como
6138,pa,para,para,para
6139,en,en,en,en
6140,es,es,es,es
6141,que,que,que,que
6142,enbie,envié,envíe,envi
6143,golardo,golardo,अ,golardo
6144,que,que,que,que
6145,y,y,y,y
6146,se,se,se,se
6147,vmd,vm,vm,vm
6148,sr,señor,señor,señor
6149,a,a,a,a
6150,a,a,a,a
6151,mio,mío,mío,meo
6152,madre,tu,madre,tu
6153,y,y,y,y
6154,por,por,por,por
6155,conpañia,compañía,compañía,compaña
6156,fuera,fuera,fuera,fuera
6157,la,vm,la,vm
6158,que,que,que,que
6159,la,la,la,la
6160,pagan,pagan,pagan,pagan
6161,poderla,poderla,poderla,poderla
6162,sigun,según,según,segn
6163,del,del,del,del
6164,responde,responde,responde,responde
6165,y,y,y,y
6166,y,y,y,y
6167,obispado,obispado,obispado,obispado
6168,a,a,a,a
6169,gusto,gusto,gusto,gusto
6170,barrio,barrio,barrio,barrio
6171,me,me,me,me
6172,lo,lo,lo,lo
6173,porq,porque,porque,porque
6174,dios,de,dios,de
6175,la,la,la,la
6176,ge,guarde,guarde,guarde
6177,de,de,de,de
6178,estado,estado,estado,estado
6179,servicio,servicio,servicio,servicio
6180,es,es,es,es
6181,tan,tan,tan,tan
6182,aunque,aunque,aunque,aunque
6183,concedido,tiene,concedido,tiene
6184,no,no,no,no
6185,18,junio,18,junio
6186,gastos,gastos,gastos,gastos
6187,de,de,de,de
6188,amigodon,amigodon,अ,amigodon
6189,mynez,martínez,martínez,martnez
6190,señor,señor,señor,señor
6191,esta,esta,esta,esta
6192,la,la,la,la
6193,las,las,las,las
6194,a,ha,a,ha
6195,y,y,y,y
6196,la,la,la,la
6197,mundo,mundo,mundo,mundo
6198,mañana,mañana,mañana,mañana
6199,de,de,de,de
6200,snto,santo,santo,santo
6201,birjen,virgen,la,virgen
6202,sy,sí,si,se
6203,de,de,de,de
6204,dios,dios,dios,dios
6205,hun,un,un,un
6206,le,de,le,de
6207,q,que,que,que
6208,sobre,sobre,sobre,sobre
6209,en,en,en,en
6210,respuesta,respuesta,respuesta,respuesta
6211,abadesa,abadesa,abadesa,aaadesa
6212,por,por,por,por
6213,todo,de,todo,de
6214,la,la,la,la
6215,antes,antes,antes,antes
6216,la,la,la,la
6217,mas,más,más,mas
6218,ni,cosas,ni,cosas
6219,y,y,y,y
6220,delante,delante,delante,delante
6221,nadie,a,nadie,a
6222,sr,señor,señor,señor
6223,a,a,a,a
6224,espossa,esposa,esposa,esposa
6225,lo,esposa,lo,esposa
6226,todo,todo,todo,todo
6227,q,que,que,que
6228,merced,merced,merced,merced
6229,pasado,pasado,pasado,pasado
6230,ju,juan,juan,juan
6231,mcarisimo,madrecarísimo,अ,madrecarsimo
6232,que,que,que,que
6233,el,el,el,el
6234,ha,vine,ha,vine
6235,puede,puede,puede,puede
6236,que,que,que,que
6237,querer,querer,querer,querer
6238,despues,después,después,despus
6239,nro,nuestro,nuestro,nuestro
6240,misa,misa,misa,misa
6241,vm,vm,vm,vm
6242,q,medio,que,medio
6243,guê,guarde,अ,guarde
